Date,Open,High,Low,Close,Volume,Currency
2021-03-03,124.81,125.71,121.84,122.06,112966000,USD
2021-03-04,121.75,123.6,118.62,120.13,178155008,USD
2021-03-05,120.98,121.93,117.57,121.42,153767008,USD
2021-03-08,120.93,121.0,116.21,116.36,154376992,USD
2021-03-09,119.03,122.06,118.79,121.08,129526000,USD
2021-03-10,121.69,122.17,119.45,119.98,111943000,USD
2021-03-11,122.54,123.21,121.26,121.96,103027000,USD
2021-03-12,120.4,121.17,119.16,121.03,88105000,USD
2021-03-15,121.41,124.0,120.42,123.99,92591000,USD
2021-03-16,125.7,127.22,124.71,125.57,115228000,USD
2021-03-17,124.05,125.86,122.34,124.76,111933000,USD
2021-03-18,122.88,123.18,120.32,120.53,121470000,USD
2021-03-19,119.9,121.43,119.68,119.99,185550000,USD
2021-03-22,120.33,123.87,120.26,123.39,111912000,USD
2021-03-23,123.33,124.24,122.14,122.54,95467000,USD
2021-03-24,122.82,122.9,120.07,120.09,88530000,USD
2021-03-25,119.54,121.66,119.0,120.59,98845000,USD
2021-03-26,120.35,121.48,118.92,121.21,94071000,USD
2021-03-29,121.65,122.58,120.73,121.39,80819000,USD
2021-03-30,120.11,120.4,118.86,119.9,85672000,USD
2021-03-31,121.65,123.52,121.15,122.15,118324000,USD
2021-04-01,123.66,124.18,122.49,123.0,75089000,USD
2021-04-05,123.87,126.16,123.07,125.9,88651000,USD
2021-04-06,126.5,127.13,125.65,126.21,80171000,USD
2021-04-07,125.83,127.92,125.14,127.9,83467000,USD
2021-04-08,128.95,130.39,128.52,130.36,88845000,USD
2021-04-09,129.8,133.04,129.47,132.99,106687000,USD
2021-04-12,132.52,132.85,130.63,131.24,91420000,USD
2021-04-13,132.44,134.66,131.93,134.43,91267000,USD
2021-04-14,134.94,135.0,131.65,132.03,87223000,USD
2021-04-15,133.82,135.0,133.64,134.5,89347000,USD
2021-04-16,134.3,134.67,133.28,134.16,84922000,USD
2021-04-19,133.51,135.47,133.34,134.84,94264000,USD
2021-04-20,135.02,135.53,131.81,133.11,94812000,USD
2021-04-21,132.36,133.75,131.3,133.5,68847000,USD
2021-04-22,133.04,134.15,131.41,131.94,84566000,USD
2021-04-23,132.16,135.12,132.16,134.32,78757000,USD
2021-04-26,134.83,135.06,133.56,134.72,66905000,USD
2021-04-27,135.01,135.41,134.11,134.39,66016000,USD
2021-04-28,134.31,135.02,133.08,133.58,107760000,USD
2021-04-29,136.47,137.07,132.45,133.48,151100992,USD
2021-04-30,131.78,133.56,131.07,131.46,109839000,USD
2021-05-03,132.04,134.07,131.83,132.54,75135000,USD
2021-05-04,131.19,131.49,126.7,127.85,137564992,USD
2021-05-05,129.2,130.45,127.97,128.1,84001000,USD
2021-05-06,127.89,129.75,127.13,129.74,78128000,USD
2021-05-07,130.85,131.26,129.48,130.21,78973000,USD
2021-05-10,129.41,129.54,126.81,126.85,88071000,USD
2021-05-11,123.5,126.27,122.77,125.91,126143000,USD
2021-05-12,123.4,124.64,122.25,122.77,112172000,USD
2021-05-13,124.58,126.15,124.26,124.97,105861000,USD
2021-05-14,126.25,127.89,125.85,127.45,81918000,USD
2021-05-17,126.82,126.93,125.17,126.27,74245000,USD
2021-05-18,126.56,126.99,124.78,124.85,63343000,USD
2021-05-19,123.16,124.92,122.86,124.69,92612000,USD
